City,lat,lon
Cancale,48.6769,-1.8506
Concarneau,47.8761,-3.9178
Valence d'Agen,44.1111,0.8903
Martigues,43.4053,5.0475
Manosque,43.8342,5.7839
Orcières-Merlette,44.697,6.322
Sens,48.1975,3.2877
Compiègne,49.4149,2.8231
Thonon-les-Bains,46.3627,6.475
Veurey,45.272,5.616
Auxerre,47.7986,3.5672
Frankfurt,50.11056,8.68222
Wiesbaden,50.0825,8.24
Damazan,44.2911,0.2764
Lézignan-Corbières,43.2014,2.7584
Trets,43.4475,5.6836
Voreppe,45.2986,5.6375
Captieux,44.2928,-0.2589
Neuville-de-Poitou,46.6861,0.2458
Angers,47.473612,-0.554167
Deauville,49.36,0.08
Les Menuires,45.32361,6.5375
Alpe d'Huez,45.06028,6.07139
Le Perreux-sur-Marne,48.8422,2.5036
Leiden,52.16,4.49
Sint Willebrord,51.55028,4.59167
Saint-Amand-les-Eaux,50.4486,3.4281
Caen,49.18139,-0.36361
Saint-Émilion,44.8936,-0.1547
Biarritz,43.48,-1.56
Besse-en-Chandesse,45.5139,2.9336
Saint-Dier-d'Auvergne,45.676,3.483
St-Étienne,45.4347,4.3903
Epernay,49.0403,3.96
Saint Germain en Laye,48.8989,2.0938
Auch,43.6465,0.5855
Oloron-Sainte-Marie,43.1947,-0.6056
Vitoria-Gasteiz,42.85,-2.683
Morcenx,44.0339,-0.9131
Jaunay-Clan,46.6864,0.3708
Altkirch ,47.62,7.24
Chamonix,45.9231,6.8697
Saint-Trivier-sur-Moignans,46.0667,4.9
Saint-Jean-de-Monts,46.7936,-2.0587
Leuven,50.883,4.7
Bastogne,50.00417,5.72
Valentigney,47.4633,6.8331
Divonne-les-Bains,46.3567,6.1428
Montgenèvre,44.9316,6.7219
Le Barcarès,42.7892,3.0364
Font-Romeu-Odeillo-Via,42.4983,2.0347
Saint-Lary-Soulan,42.82,0.32
Lacanau,44.9803,-1.0783
Sainte-Foy-la-Grande,44.84,0.22
Tulle,45.26778,1.77056
Molenbeek,50.85778,4.31583
Sablé-sur-Sarthe,47.8505,-0.3292
Saint-Gilles-Croix-de-Vie,46.6983,-1.9394
Angoulême,45.65,0.16
Barcelonnette,44.3867,6.6531
Valloire,45.1658,6.4292
Pouilly-en-Auxois,47.2633,4.5564
Plymouth,50.37139,-4.14222
Morlaix,48.5783,-3.8267
Dieppe,49.925,1.075
Harelbeke,50.85,3.3
Gaillard,46.1858,6.2083
Savines-le-Lac,44.5269,6.4056
Colomiers,43.6139,1.3367
La Seu d'Urgell,42.358,1.456
Vouvray,47.4128,0.8
Scheveningen,52.10806,4.27306
Sint-Niklaas,51.167,4.133
Moûtiers,45.4858,6.5344
Thuir,42.6331,2.7572
Bourg-Madame,42.4353,1.9447
Bourges,47.0844,2.3964
Royan,45.62,-1.03
Carnon-Plage,43.6169,4.0083
Orcières,44.6853,6.3258
Dinant,50.267,4.917
Rungis,48.7483,2.3497
Gourette,42.957024,-0.332055
Mont-de-Marsan,43.89,-0.5
Ciney,50.3,5.1
Saarlouis,49.317,6.75
Sint-Pieters-Woluwe,50.833,4.467
Maastricht,50.85,5.683
Digne,44.0933,6.2364
Aubagne,43.2908,5.5708
